,Number,Section,Length,Sefaria
388,שולחן ערוך חושן משפט שפט,CM,20,20
389,שולחן ערוך חושן משפט שצ,CM,12,12
390,שולחן ערוך חושן משפט שצא,CM,12,12
391,שולחן ערוך חושן משפט שצב,CM,1,1
392,שולחן ערוך חושן משפט שצג,CM,4,4
393,שולחן ערוך חושן משפט שצד,CM,6,6
394,שולחן ערוך חושן משפט שצה,CM,1,1
395,שולחן ערוך חושן משפט שצו,CM,10,10
396,שולחן ערוך חושן משפט שצז,CM,2,2
397,שולחן ערוך חושן משפט שצח,CM,5,5
398,שולחן ערוך חושן משפט שצט,CM,5,5
399,שולחן ערוך חושן משפט ת,CM,4,4
400,שולחן ערוך חושן משפט תא,CM,2,2
401,שולחן ערוך חושן משפט תב,CM,1,1
402,שולחן ערוך חושן משפט תג,CM,3,3
403,שולחן ערוך חושן משפט תד,CM,2,2
404,שולחן ערוך חושן משפט תה,CM,3,3
405,שולחן ערוך חושן משפט תו,CM,5,5
406,שולחן ערוך חושן משפט תז,CM,4,4
407,שולחן ערוך חושן משפט תח,CM,2,2
408,שולחן ערוך חושן משפט תט,CM,4,4
409,שולחן ערוך חושן משפט תי,CM,38,38
410,שולחן ערוך חושן משפט תיא,CM,7,7
411,שולחן ערוך חושן משפט תיב,CM,5,5
412,שולחן ערוך חושן משפט תיג,CM,3,3
413,שולחן ערוך חושן משפט תיד,CM,2,2
414,שולחן ערוך חושן משפט תטו,CM,3,3
415,שולחן ערוך חושן משפט תטז,CM,1,1
416,שולחן ערוך חושן משפט תיז,CM,7,7
417,שולחן ערוך חושן משפט תיח,CM,18,18
418,שולחן ערוך חושן משפט תיט,CM,3,3
419,שולחן ערוך חושן משפט תכ,CM,44,44
420,שולחן ערוך חושן משפט תכא,CM,14,14
421,שולחן ערוך חושן משפט תכב,CM,2,2
422,שולחן ערוך חושן משפט תכג,CM,4,4
423,שולחן ערוך חושן משפט תכד,CM,11,11
424,שולחן ערוך חושן משפט תכה,CM,5,5
425,שולחן ערוך חושן משפט תכו,CM,1,1
426,שולחן ערוך חושן משפט תכז,CM,10,10
